hoard_id,label,longitude,latitude,closing_year,bin_start_year,bin_end_year,weight
S02,West Sicily (Sicily; S02),13.93457,37.62304,-29.0,-50,-25,0.56
S02,West Sicily (Sicily; S02),13.93457,37.62304,-29.0,-25,0,0.44
S03,West Sicily (Sicily; S03),13.93457,37.62304,-40.0,-50,-25,1.0
ION,Montalbano Ionico (Italy; ION),16.5696,40.28591,-75.0,-100,-75,0.4
ION,Montalbano Ionico (Italy; ION),16.5696,40.28591,-75.0,-75,-50,0.6
BAG,Bagheria (Sicily; BAG),13.51237,38.07892,4.0,-25,0,0.24
BAN,Banzi (Italy; BAN),16.00976,40.86063,-130.0,-150,-125,0.6
BAN,Banzi (Italy; BAN),16.00976,40.86063,-130.0,-125,-100,0.4
IT1,Italy (Italy; IT1),12.83333,42.83333,-126.0,-150,-125,0.44
IT1,Italy (Italy; IT1),12.83333,42.83333,-126.0,-125,-100,0.56
IT2,Italy (Italy; IT2),12.83333,42.83333,-74.0,-100,-75,0.36
IT2,Italy (Italy; IT2),12.83333,42.83333,-74.0,-75,-50,0.64
IT4,Central Italy (Italy; IT4),12.24145,42.83829,-79.0,-100,-75,0.56
IT4,Central Italy (Italy; IT4),12.24145,42.83829,-79.0,-75,-50,0.44
SBS,San Bartolomeo in Sassoforte (Italy; SBS),10.53941,44.67402,-43.0,-75,-50,0.12
SBS,San Bartolomeo in Sassoforte (Italy; SBS),10.53941,44.67402,-43.0,-50,-25,0.88
BDS,Belmonte del Sannio (Italy; BDS),14.42333,41.82352,-31.0,-50,-25,0.64
BDS,Belmonte del Sannio (Italy; BDS),14.42333,41.82352,-31.0,-25,0,0.36
IT6,Italy (Italy; IT6),12.83333,42.83333,-31.0,-50,-25,0.64
IT6,Italy (Italy; IT6),12.83333,42.83333,-31.0,-25,0,0.36
BEN,Beneventum (Italy; BEN),14.77816,41.1307,-47.0,-75,-50,0.28
BEN,Beneventum (Italy; BEN),14.77816,41.1307,-47.0,-50,-25,0.72
BER,Berchidda (Sardinia; BER),9.1651,40.78476,-82.0,-100,-75,0.68
BER,Berchidda (Sardinia; BER),9.1651,40.78476,-82.0,-75,-50,0.32
BEV,Bevagna (Italy; BEV),12.61488,42.93748,-116.0,-150,-125,0.04
BEV,Bevagna (Italy; BEV),12.61488,42.93748,-116.0,-125,-100,0.96
JES,Jesi (Italy; JES),13.24368,43.52142,-117.0,-150,-125,0.08
JES,Jesi (Italy; JES),13.24368,43.52142,-117.0,-125,-100,0.92
JSI,Jesi (Italy; JSI),13.24368,43.52142,-45.0,-75,-50,0.2
JSI,Jesi (Italy; JSI),13.24368,43.52142,-45.0,-50,-25,0.8
SES,Romagnano Sesia (Italy; SES),8.38697,45.63279,-87.0,-100,-75,0.88
SES,Romagnano Sesia (Italy; SES),8.38697,45.63279,-87.0,-75,-50,0.12
BLC,Bellicello (Castelvetrano) (Sicily; BLC),12.79194,37.68081,-81.0,-100,-75,0.64
BLC,Bellicello (Castelvetrano) (Sicily; BLC),12.79194,37.68081,-81.0,-75,-50,0.36
BLF,Belfiore (Italy; BLF),11.21085,45.38189,-127.0,-150,-125,0.48
BLF,Belfiore (Italy; BLF),11.21085,45.38189,-127.0,-125,-100,0.52
BLG,Bologna (Italy; BLG),11.33875,44.49381,-100.0,-125,-100,0.4
BLG,Bologna (Italy; BLG),11.33875,44.49381,-100.0,-100,-75,0.6
SGI,San Giovanni Incarico (Italy; SGI),13.55864,41.50001,-125.0,-150,-125,0.4
SGI,San Giovanni Incarico (Italy; SGI),13.55864,41.50001,-125.0,-125,-100,0.6
BOR,Borzano (Italy; BOR),10.63675,44.6036,-42.0,-75,-50,0.08
BOR,Borzano (Italy; BOR),10.63675,44.6036,-42.0,-50,-25,0.92
BRA,Brandosa (Italy; BRA),12.30924,42.03721,-49.0,-75,-50,0.36
BRA,Brandosa (Italy; BRA),12.30924,42.03721,-49.0,-50,-25,0.64
SMT,San Miniato al Tedesco (Italy; SMT),10.84975,43.67954,-80.0,-100,-75,0.6
SMT,San Miniato al Tedesco (Italy; SMT),10.84975,43.67954,-80.0,-75,-50,0.4
BRE,Brescello (Italy; BRE),10.51269,44.89531,-39.0,-50,-25,0.96
BRE,Brescello (Italy; BRE),10.51269,44.89531,-39.0,-25,0,0.04
BRG,Borgonuovo (Italy; BRG),10.61667,43.85,-111.0,-125,-100,0.84
BRG,Borgonuovo (Italy; BRG),10.61667,43.85,-111.0,-100,-75,0.16
BRI,Brindisi (Italy; BRI),17.93607,40.63215,-34.0,-50,-25,0.76
BRI,Brindisi (Italy; BRI),17.93607,40.63215,-34.0,-25,0,0.24
LCL,Lucoli (Italy; LCL),13.33799,42.29093,-124.0,-150,-125,0.36
LCL,Lucoli (Italy; LCL),13.33799,42.29093,-124.0,-125,-100,0.64
BRO,Broni (Italy; BRO),9.25993,45.06394,-51.0,-75,-50,0.44
BRO,Broni (Italy; BRO),9.25993,45.06394,-51.0,-50,-25,0.56
LIC,Licodia (Sicily; LIC),14.70555,37.15674,-74.0,-100,-75,0.36
LIC,Licodia (Sicily; LIC),14.70555,37.15674,-74.0,-75,-50,0.64
SPN,Spoiano (Italy; SPN),11.76842,43.37055,-46.0,-75,-50,0.24
SPN,Spoiano (Italy; SPN),11.76842,43.37055,-46.0,-50,-25,0.76
SPO,Spoleto (Italy; SPO),12.73899,42.74071,-79.0,-100,-75,0.56
SPO,Spoleto (Italy; SPO),12.73899,42.74071,-79.0,-75,-50,0.44
BUR,Burgos (Italy; BUR),8.99558,40.39081,-195.0,-225,-200,0.2
BUR,Burgos (Italy; BUR),8.99558,40.39081,-195.0,-200,-175,0.8
BVG,Bevagna (Italy; BVG),12.61488,42.93748,-100.0,-125,-100,0.4
BVG,Bevagna (Italy; BVG),12.61488,42.93748,-100.0,-100,-75,0.6
SSR,Santo Stefano Roero (Italy; SSR),7.94093,44.78844,-18.0,-50,-25,0.12
SSR,Santo Stefano Roero (Italy; SSR),7.94093,44.78844,-18.0,-25,0,0.88
CAH,Italy (Italy; CAH),12.83333,42.83333,-87.0,-100,-75,0.88
CAH,Italy (Italy; CAH),12.83333,42.83333,-87.0,-75,-50,0.12
LOR,San Lorenzo del Vallo (Italy; LOR),16.29866,39.66739,-102.0,-125,-100,0.48
LOR,San Lorenzo del Vallo (Italy; LOR),16.29866,39.66739,-102.0,-100,-75,0.52
CAL,Calvatone (Italy; CAL),10.44057,45.12697,-40.0,-50,-25,1.0
LOS,Mornico Losana (Italy; LOS),9.20616,45.01016,-38.0,-50,-25,0.92
LOS,Mornico Losana (Italy; LOS),9.20616,45.01016,-38.0,-25,0,0.08
LTA,"Largo di Torre Argentina, Rome (Italy; LTA)",12.47655,41.89605,-97.0,-125,-100,0.28
LTA,"Largo di Torre Argentina, Rome (Italy; LTA)",12.47655,41.89605,-97.0,-100,-75,0.72
CAR,Carovilli (Italy; CAR),14.29403,41.71348,-81.0,-100,-75,0.64
CAR,Carovilli (Italy; CAR),14.29403,41.71348,-81.0,-75,-50,0.36
STR,Strongoli (Italy; STR),17.05413,39.26576,-108.0,-125,-100,0.72
STR,Strongoli (Italy; STR),17.05413,39.26576,-108.0,-100,-75,0.28
CAS,Casaleone (Italy; CAS),11.19401,45.16821,-51.0,-75,-50,0.44
CAS,Casaleone (Italy; CAS),11.19401,45.16821,-51.0,-50,-25,0.56
LUN,Luni (Italy; LUN),9.98503,44.08546,-89.0,-100,-75,0.96
LUN,Luni (Italy; LUN),9.98503,44.08546,-89.0,-75,-50,0.04
CAV,Cavriago (Italy; CAV),10.52591,44.69457,-45.0,-75,-50,0.2
CAV,Cavriago (Italy; CAV),10.52591,44.69457,-45.0,-50,-25,0.8
MAC,Maccarese (Italy; MAC),12.21975,41.87696,-74.0,-100,-75,0.36
MAC,Maccarese (Italy; MAC),12.21975,41.87696,-74.0,-75,-50,0.64
