port_id,name,modern_name,country_region,longitude,latitude,foundation_year,dated_for_model,culture_flags,infrastructure_count,pleiades,dare,trismegistos,topostext
851,"Port of Pise, Pisa, Etruscan Pisna, Peithusa, Pithsa, on ancient R Auser, near R Arnus","Stazione Ferroviaria Pisa-San Rossore, near Pisa, near R Arno, with Neolithic settlement",Italy West,10.3862,43.7211,-550,1,Li|Gr|Ro,1,http://pleiades.stoa.org/places/403253,http://imperium.ahlfeldt.se/places/10595,https://www.trismegistos.org/place/11855,https://topostext.org/place/437104UPis
852,,"Roman villa at San Piero a Grado, near Pisa on R Arno",Italy West,10.346,43.68,-30,1,Ro,1,http://pleiades.stoa.org/places/409239,http://imperium.ahlfeldt.se/places/22570,,
853,,"Isola di Coltano, with Neolithic settlement",Italy West,10.3934,43.6386,-5000,1,Li|Ro,1,,,,
854,"Triturrita? Turrita? Near Portus Pisanus, Pisarum emporio, Liburnus Portus, Portus Herculis Liburni, Portus Labro, Etruscan Liburna","Santo Stefano ai Lupi, Livorno. This port was connected to the city of Pisa by a series of marshes. A lighthouse was on the Secche della Meloria. Neolithic settlement at Querciolaia",Italy West,10.3343,43.5733,-5000,1,Li|Ro,3,http://pleiades.stoa.org/places/403261,,,
855,,Castiglioncello ,Italy West,10.4182,43.4022,-330,1,Ro,0,http://pleiades.stoa.org/places/403195,http://imperium.ahlfeldt.se/places/18712,,
856,"Vadis, Vada Volaterrana ","San Gaetano di Vada, near Vada Volterra",Italy West,10.44801,43.35981,-330,1,Ro,0,http://pleiades.stoa.org/places/403270,http://imperium.ahlfeldt.se/places/33589,,
857,"Caecina, Etruscan Ceicna, Caicni","Roman villa di San Vincenzino, at Cecina, on R Cecina",Italy West,10.5106,43.3099,-30,1,Ro,1,http://pleiades.stoa.org/places/403275,http://imperium.ahlfeldt.se/places/26499,,
858,Caprasia insula,Isle of Capraia,Italy West,9.838895,43.050537,,0,Ro,0,http://pleiades.stoa.org/places/403193,http://imperium.ahlfeldt.se/places/41263,,
858.1,,"San Vincenzo, Neolithic settlement",Italy West,10.531,43.099,-5000,1,Li|Ro,0,,,,
858.2,,"Roman villa at Villa del Barone, Poggio del Molino",Italy West,10.5129,43.0124,50,0,Ro,1,,,,
859,"Populonio, Poplonium, Etruscan Fufluna, Pupluna","Baratti, near Populonia",Italy West,10.5014,42.9924,-750,1,Gr|Ro,5,http://pleiades.stoa.org/places/403212,http://imperium.ahlfeldt.se/places/16693,https://www.trismegistos.org/place/14356,https://topostext.org/place/430105UPop
859.1,,"Roman villa Le Logge, at Populonia",Italy West,10.4895,42.9881,-50,1,Ro,1,,,https://www.trismegistos.org/place/14356,
860,"Falesia, Porto Falese ","Piombino, with Neolithic settlement",Italy West,10.559041,42.934297,-5000,1,Li|Ro,0,http://pleiades.stoa.org/places/403206,http://imperium.ahlfeldt.se/places/22911,,
861,,Vignale,Italy West,10.67991,42.9663,-330,1,Ro,1,http://pleiades.stoa.org/places/596384814,http://imperium.ahlfeldt.se/places/25067,,
862,Etruscan Fullona,Follonica,Italy West,10.757,42.917,-700,1,Gr|Ro,0,,,,
863,,Roman villa at Puntone Vecchio di Scarlino,Italy West,10.787,42.89577,-30,1,Ro,1,http://pleiades.stoa.org/places/403175,http://imperium.ahlfeldt.se/places/17197,,
864,Portus Scabris ,Portiglione,Italy West,10.7828,42.8844,,0,Ro,0,http://pleiades.stoa.org/places/409236,,,
865,R Alma ,Pian d'Alma,Italy West,10.77345,42.84234,,0,Ro,0,https://pleiades.stoa.org/places/403175,,,
866,"Ilva, Aithalia, Ethalie ","Isle of Elba, with Neolithic settlement",Italy West,10.273798,42.770152,-5000,1,Li|Ro,0,http://pleiades.stoa.org/places/403222,http://imperium.ahlfeldt.se/places/41261,https://www.trismegistos.org/place/45368,https://topostext.org/place/428103IAit
867,"Argous portus, Argoos, ","Portoferraio, on the isle of Elba",Italy West,10.329861,42.813066,-750,1,Gr|Ro,0,http://pleiades.stoa.org/places/403180,http://imperium.ahlfeldt.se/places/33580,https://www.trismegistos.org/place/42396,
868,,"Edilnautica marina, on the isle of Elba",Italy West,10.314434,42.80632,,0,Ro,0,,,,
869,,"Roman villa Le Grotte, on the isle of Elba",Italy West,10.3305,42.8006,10,0,Ro,1,,http://imperium.ahlfeldt.se/places/40452,,
870,,"Roman villa at Capo Castello, on the isle of Elba",Italy West,10.42146,42.86496,10,0,Ro,1,,http://imperium.ahlfeldt.se/places/42278,,
871,Portus Longus ,"Porto Longone, Porto Azzurro, on the isle of Elba",Italy West,10.397004,42.762374,,0,Ro,0,,,,
872,Planasia insula,"Isle of Pianosa, near the isle of Elba",Italy West,10.082156,42.582969,-330,1,Ro,0,http://pleiades.stoa.org/places/403255,http://imperium.ahlfeldt.se/places/24898,https://www.trismegistos.org/place/61096,https://topostext.org/place/426100IPla
