wreck_id,sitename,locname,longitude,latitude,wreckage_after,wreckage_before,bin_start_year,bin_end_year,weight
oxrep_loc_2099,Olbia (Sardinia),Olbia B,9.50738,40.91148,-400.0,-100.0,-275,-250,0.083333
oxrep_loc_2099,Olbia (Sardinia),Olbia B,9.50738,40.91148,-400.0,-100.0,-250,-225,0.083333
oxrep_loc_2099,Olbia (Sardinia),Olbia B,9.50738,40.91148,-400.0,-100.0,-225,-200,0.083333
oxrep_loc_2099,Olbia (Sardinia),Olbia B,9.50738,40.91148,-400.0,-100.0,-200,-175,0.083333
oxrep_loc_2099,Olbia (Sardinia),Olbia B,9.50738,40.91148,-400.0,-100.0,-175,-150,0.083333
oxrep_loc_2099,Olbia (Sardinia),Olbia B,9.50738,40.91148,-400.0,-100.0,-150,-125,0.083333
oxrep_loc_2099,Olbia (Sardinia),Olbia B,9.50738,40.91148,-400.0,-100.0,-125,-100,0.083333
oxrep_loc_2209,Capraia,Capraia B,9.82366,43.07225,-150.0,400.0,-150,-125,0.045455
oxrep_loc_2209,Capraia,Capraia B,9.82366,43.07225,-150.0,400.0,-125,-100,0.045455
oxrep_loc_2209,Capraia,Capraia B,9.82366,43.07225,-150.0,400.0,-100,-75,0.045455
oxrep_loc_2209,Capraia,Capraia B,9.82366,43.07225,-150.0,400.0,-75,-50,0.045455
oxrep_loc_2209,Capraia,Capraia B,9.82366,43.07225,-150.0,400.0,-50,-25,0.045455
oxrep_loc_2209,Capraia,Capraia B,9.82366,43.07225,-150.0,400.0,-25,0,0.045455
oxrep_loc_2340,Ponza,Ponza A,12.97,40.88,-300.0,-250.0,-300,-275,0.5
oxrep_loc_2340,Ponza,Ponza A,12.97,40.88,-300.0,-250.0,-275,-250,0.5
oxrep_loc_2344,Panarea,Panarea (Roghi),15.07,38.63,-325.0,-300.0,-325,-300,1.0
oxrep_loc_2422,Capraia,Capraia A,9.82366,43.07225,-100.0,100.0,-100,-75,0.125
oxrep_loc_2422,Capraia,Capraia A,9.82366,43.07225,-100.0,100.0,-75,-50,0.125
oxrep_loc_2422,Capraia,Capraia A,9.82366,43.07225,-100.0,100.0,-50,-25,0.125
oxrep_loc_2422,Capraia,Capraia A,9.82366,43.07225,-100.0,100.0,-25,0,0.125
oxrep_loc_2493,Olbia (Sardinia),Olbia (statue),9.50738,40.91148,-150.0,400.0,-150,-125,0.045455
oxrep_loc_2493,Olbia (Sardinia),Olbia (statue),9.50738,40.91148,-150.0,400.0,-125,-100,0.045455
oxrep_loc_2493,Olbia (Sardinia),Olbia (statue),9.50738,40.91148,-150.0,400.0,-100,-75,0.045455
oxrep_loc_2493,Olbia (Sardinia),Olbia (statue),9.50738,40.91148,-150.0,400.0,-75,-50,0.045455
oxrep_loc_2493,Olbia (Sardinia),Olbia (statue),9.50738,40.91148,-150.0,400.0,-50,-25,0.045455
oxrep_loc_2493,Olbia (Sardinia),Olbia (statue),9.50738,40.91148,-150.0,400.0,-25,0,0.045455
oxrep_loc_2526,Pisa,Pisa P,10.38813,43.72388,-30.0,30.0,-50,-25,0.083333
oxrep_loc_2526,Pisa,Pisa P,10.38813,43.72388,-30.0,30.0,-25,0,0.416667
oxrep_loc_2589,Spargi,Spargi,9.333333333333334,41.21666666666667,-120.0,-100.0,-125,-100,1.0
oxrep_loc_582,Gallipoli,Gallipoli 2,18.07388,39.97683,-300.0,-200.0,-300,-275,0.25
oxrep_loc_582,Gallipoli,Gallipoli 2,18.07388,39.97683,-300.0,-200.0,-275,-250,0.25
oxrep_loc_582,Gallipoli,Gallipoli 2,18.07388,39.97683,-300.0,-200.0,-250,-225,0.25
oxrep_loc_582,Gallipoli,Gallipoli 2,18.07388,39.97683,-300.0,-200.0,-225,-200,0.25
oxrep_loc_700,Marsala,Marsala (Punic Ship),12.4669,37.74462,-250.0,-175.0,-250,-225,0.333333
oxrep_loc_700,Marsala,Marsala (Punic Ship),12.4669,37.74462,-250.0,-175.0,-225,-200,0.333333
oxrep_loc_700,Marsala,Marsala (Punic Ship),12.4669,37.74462,-250.0,-175.0,-200,-175,0.333333
oxrep_loc_1035,Gallipoli,Gallipoli 3,18.07388,39.97683,-300.0,-200.0,-300,-275,0.25
oxrep_loc_1035,Gallipoli,Gallipoli 3,18.07388,39.97683,-300.0,-200.0,-275,-250,0.25
oxrep_loc_1035,Gallipoli,Gallipoli 3,18.07388,39.97683,-300.0,-200.0,-250,-225,0.25
oxrep_loc_1035,Gallipoli,Gallipoli 3,18.07388,39.97683,-300.0,-200.0,-225,-200,0.25
oxrep_loc_1364,Gela,Gela B,14.26666,37.04304,-475.0,-425.0,-475,-450,0.5
oxrep_loc_1364,Gela,Gela B,14.26666,37.04304,-475.0,-425.0,-450,-425,0.5
oxrep_loc_1394,Capo Cimiti,Capo Cimiti,17.166666666666668,38.95,-150.0,400.0,-150,-125,0.045455
oxrep_loc_1394,Capo Cimiti,Capo Cimiti,17.166666666666668,38.95,-150.0,400.0,-125,-100,0.045455
oxrep_loc_1394,Capo Cimiti,Capo Cimiti,17.166666666666668,38.95,-150.0,400.0,-100,-75,0.045455
oxrep_loc_1394,Capo Cimiti,Capo Cimiti,17.166666666666668,38.95,-150.0,400.0,-75,-50,0.045455
oxrep_loc_1394,Capo Cimiti,Capo Cimiti,17.166666666666668,38.95,-150.0,400.0,-50,-25,0.045455
oxrep_loc_1394,Capo Cimiti,Capo Cimiti,17.166666666666668,38.95,-150.0,400.0,-25,0,0.045455
oxrep_loc_1658,Siracusa,Siracusa D,15.3,37.07,-150.0,400.0,-150,-125,0.045455
oxrep_loc_1658,Siracusa,Siracusa D,15.3,37.07,-150.0,400.0,-125,-100,0.045455
