stamp_id,site,province_label,longitude,latitude,amphora_type,stamp_code,chronology_in_default_model,range_start_year,range_end_year
35239,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,LVCAO,1,-125,-25
33085,Erice,Sicilia,12.583333,38.033333,Greco-Itálica,MDCIO,1,-400,-100
37445,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
39268,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,APOLLONI,1,-125,-25
37527,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
25400,Cosa,Italia,12.896389,46.057778,Dressel 1A,SIGNUM,1,-150,-1
33133,Entella,Italia,9.333333,44.316667,Dressel 1,NA,1,-150,-1
39271,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,APOLLONI,1,-125,-25
40261,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,HPAIOC,1,-125,-25
33778,Gavello,Italia,11.916667,45.016667,Dressel 6B,APIC,1,-50,-1
35638,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
40644,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,PHILEMONOS,1,-125,-25
34871,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,ARCHELA,1,-125,-25
35823,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
39285,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,APOLLONI,1,-125,-25
25767,Ostia Antica,Italia,12.283333,41.75,Dressel 20,PARVA,0,,
35429,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,SCOPAS,1,-125,-25
40955,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,ANINIANA,1,-125,-25
9282,Este,Italia,11.65,45.233333,Dressel 6B,AV,1,-50,-1
9597,Padova,Italia,11.883333,45.416667,Dressel 6A,COT,1,-50,-1
40426,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,LVCRIO,1,-125,-25
26374,Ljubljana (Emona),Italia,14.514444,46.055278,Dressel 6B,CALCRISPINILLAE,1,-50,-1
35292,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,LVKAON,1,-125,-25
29291,Ostia Antica,Italia,12.283333,41.75,Dressel 20,LFC,0,,
36004,Alghero,Corsica et Sardinia,8.318056,40.558889,Dressel 2-4,MPM,1,-30,-1
37702,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,CANINI,1,-125,-25
40444,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,MENAIS,1,-125,-25
35290,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,LVKAON,1,-125,-25
9682,Padova,Italia,11.883333,45.416667,Amphora incerta,VMBRI,0,,
26170,Porto Torres,Corsica et Sardinia,8.397222,40.835,Africana 2D Grande,SECDIFHD,0,,
34177,Provincia di Parma,Italia,10.083333,44.7,Amphora incerta,APICI,0,,
40688,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,PILEMO,1,-125,-25
34746,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLONIDA,1,-125,-25
32612,Oderzo,Italia,12.488056,45.78,Dressel 6B,CRISPIN,1,-50,-1
32809,Padova,Italia,11.883333,45.416667,Dressel 6B,APICI,1,-50,-1
34998,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,DAMATRI,1,-125,-25
32687,Oderzo,Italia,12.488056,45.78,Dressel 6B,VARIPACC,1,-50,-1
37674,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,CANINI,1,-125,-25
40721,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,PTOLEMAE,1,-125,-25
40797,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,PVLADEI,1,-125,-25
35141,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,DIOCLES,1,-125,-25
33888,Albinia,Italia,11.25,42.5,Dressel 1C,DIS,1,-150,-1
34653,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLLONID,1,-125,-25
40491,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,MENECRATES,1,-125,-25
38221,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,VEHILI,1,-125,-25
32267,Cremona,Italia,10.033333,45.116667,Lamboglia 2,LTAR,1,-125,-25
36204,Ancona,Italia,13.5,43.633333,Lamboglia 2,SOL,1,-125,-25
35904,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,LMARCISATVR,1,-125,-25
18658,Îles Perduto,Corsica et Sardinia,9.305129,41.369872,Dressel 2-4 Catalan,HIL,1,-30,-1
41081,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,ANINIANA,1,-125,-25
37373,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,SCOPAS,1,-125,-25
25361,Vercelli,Italia,8.416667,45.316667,Dressel 6B,IMP,1,-50,-1
33668,Umbria,Italia,12.55,43.05,Dressel 2-4,DIODOPOXMEEPOIEI,1,-30,-1
25786,Ostia Antica,Italia,12.283333,41.75,Dressel 20,TATILIASIATICI,0,,
33916,Albinia,Italia,11.25,42.5,Dressel 1C,D,1,-150,-1
39263,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,APLONI,1,-125,-25
26129,Trinitapoli,Italia,16.083333,41.35,Lamboglia 2,BARNA,1,-125,-25
40764,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,PTOLEMAE,1,-125,-25
34793,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLLONIDES,1,-125,-25
37017,Lazio,Italia,13.25,41.7,Dressel 20,AELIFVSCIANI,0,,
37781,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,APPVLEI,1,-125,-25
41044,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,ANINIANA,1,-125,-25
28215,Ostia Antica,Italia,12.283333,41.75,Dressel 20,PNN,0,,
13778,Gricignano d'Aversa,Italia,14.233333,40.983333,Africana 2,AFI,0,,
20308,Isola Sacra,Italia,12.25,41.75,Africana,TEPKOP,0,,
34311,Modena,Italia,10.9,44.5,Amphora incerta,MIEEMMHEPICEN,0,,
38443,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,APELAES,1,-125,-25
37738,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,CANINI,1,-125,-25
18572,Îles Lavezzi,Corsica et Sardinia,9.254185,41.341096,Dressel 2-4 Catalan,T,1,-30,-1
35924,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,LMARCISATVR,1,-125,-25
32765,Padova,Italia,11.883333,45.416667,Dressel 6B,LAE,1,-50,-1
37838,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,PCLAVDIVSPNQ,1,-125,-25
18597,Îles Lavezzi,Corsica et Sardinia,9.254185,41.341096,Dressel 2-4 Catalan,CELSI,1,-30,-1
29393,Ostia Antica,Italia,12.283333,41.75,Dressel 20,MHGI,0,,
4792,Taranto,Italia,17.229722,40.476111,Greco-Itálica,TRLOISIO,1,-400,-100
34829,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLONI,1,-125,-25
41031,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,ANINIANA,1,-125,-25
28340,Ostia Antica,Italia,12.283333,41.75,Dressel 20,IICCLLM,0,,
18659,Îles Perduto,Corsica et Sardinia,9.305129,41.369872,Dressel 2-4 Catalan,CISSI,1,-30,-1
34585,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APELLAE,1,-125,-25
32648,Oderzo,Italia,12.488056,45.78,Dressel 6B,FA,1,-50,-1
35792,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
33068,Erice,Sicilia,12.583333,38.033333,Greco-Itálica,ANTIO,1,-400,-100
35765,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLIVISELL,1,-125,-25
40859,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,SOTERICO,1,-125,-25
35838,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,CERDO,1,-125,-25
12024,Susa,Italia,7.05,45.133333,Dressel 6B,PQSCAPVLAE,1,-50,-1
40056,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,BATON,1,-125,-25
36845,Vicenza,Italia,11.55,45.55,Dressel 6B,VIAT,1,-50,-1
40009,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,BAHANO,1,-125,-25
36848,Vicenza,Italia,11.55,45.55,Dressel 6B,LAEK,1,-50,-1
10576,Altino,Italia,12.393333,45.544444,Dressel 6A,THB,1,-50,-1
34717,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLONIDA,1,-125,-25
37597,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,LUKAON,1,-125,-25
40502,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,MENECRATES,1,-125,-25
35733,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
35024,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,DEMETRI,1,-125,-25
