loc_id,site_id,country,sea_area,sitename,locname,depth_m,wreckage_after,wreckage_before,dated,in_window,latitude,longitude,coord_source,has_coords
607,1689,Italy,,Porto Pino,East Porto Pino,-11.0,1000.0,1500.0,False,False,,,,False
622,1282,Italy,,Lerici,Lerici,0.0,1.0,200.0,True,False,,,,False
629,716,Italy,,Capo Bianco,Capo Bianco,-5.0,350.0,500.0,True,False,,,,False
636,1350,Italy,,Punta di Zambrone,Punta di Zambrone,0.0,-100.0,40.0,True,True,38.72,15.97789,oxrep_popup,True
637,1399,Italy,,Skerki Bank,Skerki Bank wreck G,-760.0,25.0,75.0,True,False,,,,False
640,1626,Italy,,Capo d'Armi,Capo d'Armi,0.0,-40.0,100.0,True,True,37.95864,15.66942,oxrep_popup,True
645,1162,Italy,,Porto Palo di Menfi,Porto Palo di Menfi,-4.0,-200.0,-100.0,True,True,37.57434,12.91082,oxrep_popup,True
649,596,Italy,,Randello,Randello,,300.0,325.0,True,False,,,,False
654,483,Italy,,Rena Maiore,Rena Maiore,0.0,,,False,False,,,,False
657,270,Italy,,Capo Galera,Capo Galera,0.0,1100.0,1300.0,False,False,,,,False
666,1136,Italy,,Perelli,Perelli,-21.0,1.0,25.0,True,False,,,,False
668,574,Italy,,Marciano Marina,Marciano Marina,-64.0,1.0,100.0,True,False,,,,False
671,1055,Italy,,Calaminnola,Calaminnola,,-300.0,-200.0,True,True,,,,False
677,1617,Italy,,Mandriola,Mandriola A,-4.0,275.0,325.0,True,False,,,,False
690,530,Italy,,Plemmirio,Plemmirio B,-47.0,175.0,225.0,True,False,,,,False
692,914,Italy,,Capo di Torre Cavallo,Capo di Torre Cavallo,,-150.0,-50.0,True,True,40.63333333333333,18.016666666666666,v01_geocoded,True
694,1946,Italy,,Punta Scifo,Punta Scifo A,,200.0,225.0,True,False,,,,False
707,1785,Italy,,Torre Flavia,Torre Flavia A,,-150.0,400.0,True,True,41.94812,12.0568,oxrep_popup,True
715,424,Italy,,Marzamemi,Marzamemi E,,-400.0,-300.0,True,True,,,,False
756,1085,Italy,,Castellammare del Golfo,Castellammare del Golfo,,1400.0,1500.0,False,False,,,,False
767,424,Italy,,Marzamemi,Marzamemi D,,325.0,350.0,True,False,,,,False
781,1213,Italy,,Isola Rossa,Isola Rossa 2,-300.0,-30.0,200.0,True,True,41.01725,8.84579,oxrep_popup,True
808,584,Italy,,Alghero,Alghero,,-150.0,400.0,True,True,40.55756,8.30944,oxrep_popup,True
812,1175,Italy,,Santa Croce Camerina,Santa Croce Camerina,0.0,,,False,False,,,,False
813,685,Italy,,Sant'Andrea,Sant'Andrea A,-10.0,-50.0,-50.0,True,True,42.81174,10.14038,oxrep_popup,True
823,1582,Italy,,Secche della Meloria,Secche della Meloria,-5.0,-275.0,-225.0,True,True,43.54776,10.22071,oxrep_popup,True
825,432,Italy,,Saturo,Saturo B,,-200.0,-150.0,True,True,,,,False
835,1185,Italy,,Nardo,Nardo,0.0,-200.0,-50.0,True,True,40.15102,17.92419,oxrep_popup,True
852,1909,Italy,,Acque Chiare,Acque Chiare,-6.0,300.0,450.0,True,False,,,,False
854,1258,Italy,,Scauri,Scauri,-10.0,475.0,500.0,True,False,,,,False
870,266,Italy,,La Speranza,La Speranza,-4.0,1.0,50.0,True,False,,,,False
885,1867,Italy,,Lago di Nemi,Nemi B,,35.0,50.0,True,False,,,,False
893,1941,Italy,,Secche Di Ugento,Secche Di Ugento C,,600.0,700.0,True,False,,,,False
897,1670,Italy,,Santa Caterina di Nardo,Santa Caterina di Nardo 2,0.0,-400.0,-200.0,True,True,40.13633,17.95166,oxrep_popup,True
926,1280,Italy,,Punta Penne,Punta Penne C,-5.0,-150.0,400.0,True,True,,,,False
933,1213,Italy,,Isola Rossa,Isola Rossa 3,-200.0,200.0,400.0,True,False,,,,False
939,1195,Italy,,Bocca Grande,Bocca Grande,0.0,-100.0,100.0,True,True,40.53607,14.18644,oxrep_popup,True
941,237,Italy,,Le Scole,"Scole A, Le",,365.0,380.0,True,False,,,,False
942,1651,Italy,,Montecristo,Montecristo A,,-260.0,-250.0,True,True,,,,False
945,1930,Italy,,Comacchio,Comacchio,0.0,-100.0,-1.0,True,True,,,,False
