bin_start_year,bin_end_year,site,longitude,latitude,amphora_type,stamp_count,log1p_stamp_count,temporal_probability,weighted_evidence
-75,-50,Domagnano,12.466667,43.95,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-50,-25,Domagnano,12.466667,43.95,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-25,0,Due Maestà,11.0,44.75,Dressel 2-4,1,0.6931471805599453,1.0,0.6931471805599453
-50,-25,Due Maestà,11.0,44.75,Dressel 6A,1,0.6931471805599453,0.5,0.34657359027997264
-25,0,Due Maestà,11.0,44.75,Dressel 6A,1,0.6931471805599453,0.5,0.34657359027997264
-150,-125,Dugenta,14.45,41.133333,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-125,-100,Dugenta,14.45,41.133333,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-100,-75,Dugenta,14.45,41.133333,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-75,-50,Dugenta,14.45,41.133333,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-50,-25,Dugenta,14.45,41.133333,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-25,0,Dugenta,14.45,41.133333,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-150,-125,Dugenta,14.45,41.133333,Dressel 1A,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-125,-100,Dugenta,14.45,41.133333,Dressel 1A,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-100,-75,Dugenta,14.45,41.133333,Dressel 1A,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-75,-50,Dugenta,14.45,41.133333,Dressel 1A,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-50,-25,Dugenta,14.45,41.133333,Dressel 1A,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-25,0,Dugenta,14.45,41.133333,Dressel 1A,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-150,-125,Entella,9.333333,44.316667,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-125,-100,Entella,9.333333,44.316667,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-100,-75,Entella,9.333333,44.316667,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-75,-50,Entella,9.333333,44.316667,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-50,-25,Entella,9.333333,44.316667,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-25,0,Entella,9.333333,44.316667,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-400,-375,Entella,9.333333,44.316667,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-375,-350,Entella,9.333333,44.316667,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-350,-325,Entella,9.333333,44.316667,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-325,-300,Entella,9.333333,44.316667,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-300,-275,Entella,9.333333,44.316667,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-275,-250,Entella,9.333333,44.316667,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-250,-225,Entella,9.333333,44.316667,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-225,-200,Entella,9.333333,44.316667,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-200,-175,Entella,9.333333,44.316667,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-175,-150,Entella,9.333333,44.316667,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-150,-125,Entella,9.333333,44.316667,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-125,-100,Entella,9.333333,44.316667,Greco-Itálica,3,1.3862943611198906,0.08333333333333333,0.11552453009332421
-150,-125,Erice,12.583333,38.033333,Dressel 1,8,2.1972245773362196,0.16666666666666666,0.3662040962227032
-125,-100,Erice,12.583333,38.033333,Dressel 1,8,2.1972245773362196,0.16666666666666666,0.3662040962227032
-100,-75,Erice,12.583333,38.033333,Dressel 1,8,2.1972245773362196,0.16666666666666666,0.3662040962227032
-75,-50,Erice,12.583333,38.033333,Dressel 1,8,2.1972245773362196,0.16666666666666666,0.3662040962227032
-50,-25,Erice,12.583333,38.033333,Dressel 1,8,2.1972245773362196,0.16666666666666666,0.3662040962227032
-25,0,Erice,12.583333,38.033333,Dressel 1,8,2.1972245773362196,0.16666666666666666,0.3662040962227032
-400,-375,Erice,12.583333,38.033333,Greco-Itálica,45,3.828641396489095,0.08333333333333333,0.31905344970742455
-375,-350,Erice,12.583333,38.033333,Greco-Itálica,45,3.828641396489095,0.08333333333333333,0.31905344970742455
-350,-325,Erice,12.583333,38.033333,Greco-Itálica,45,3.828641396489095,0.08333333333333333,0.31905344970742455
-325,-300,Erice,12.583333,38.033333,Greco-Itálica,45,3.828641396489095,0.08333333333333333,0.31905344970742455
-300,-275,Erice,12.583333,38.033333,Greco-Itálica,45,3.828641396489095,0.08333333333333333,0.31905344970742455
-275,-250,Erice,12.583333,38.033333,Greco-Itálica,45,3.828641396489095,0.08333333333333333,0.31905344970742455
-250,-225,Erice,12.583333,38.033333,Greco-Itálica,45,3.828641396489095,0.08333333333333333,0.31905344970742455
-225,-200,Erice,12.583333,38.033333,Greco-Itálica,45,3.828641396489095,0.08333333333333333,0.31905344970742455
-200,-175,Erice,12.583333,38.033333,Greco-Itálica,45,3.828641396489095,0.08333333333333333,0.31905344970742455
-175,-150,Erice,12.583333,38.033333,Greco-Itálica,45,3.828641396489095,0.08333333333333333,0.31905344970742455
-150,-125,Erice,12.583333,38.033333,Greco-Itálica,45,3.828641396489095,0.08333333333333333,0.31905344970742455
-125,-100,Erice,12.583333,38.033333,Greco-Itálica,45,3.828641396489095,0.08333333333333333,0.31905344970742455
-50,-25,Este,11.65,45.233333,Dressel 6A,13,2.639057329615259,0.5,1.3195286648076294
-25,0,Este,11.65,45.233333,Dressel 6A,13,2.639057329615259,0.5,1.3195286648076294
-50,-25,Este,11.65,45.233333,Dressel 6B,20,3.044522437723423,0.5,1.5222612188617115
-25,0,Este,11.65,45.233333,Dressel 6B,20,3.044522437723423,0.5,1.5222612188617115
-125,-100,Este,11.65,45.233333,Lamboglia 2,13,2.639057329615259,0.25,0.6597643324038147
-100,-75,Este,11.65,45.233333,Lamboglia 2,13,2.639057329615259,0.25,0.6597643324038147
-75,-50,Este,11.65,45.233333,Lamboglia 2,13,2.639057329615259,0.25,0.6597643324038147
-50,-25,Este,11.65,45.233333,Lamboglia 2,13,2.639057329615259,0.25,0.6597643324038147
-50,-25,Fermo,13.716667,43.15,Dressel 6A,2,1.0986122886681096,0.5,0.5493061443340548
-25,0,Fermo,13.716667,43.15,Dressel 6A,2,1.0986122886681096,0.5,0.5493061443340548
-125,-100,Fermo,13.716667,43.15,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-100,-75,Fermo,13.716667,43.15,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-75,-50,Fermo,13.716667,43.15,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-50,-25,Fermo,13.716667,43.15,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-50,-25,Ficarolo,11.433333,44.95,Dressel 6B,1,0.6931471805599453,0.5,0.34657359027997264
-25,0,Ficarolo,11.433333,44.95,Dressel 6B,1,0.6931471805599453,0.5,0.34657359027997264
-150,-125,Fiesole,11.283333,43.8,Dressel 1A,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-125,-100,Fiesole,11.283333,43.8,Dressel 1A,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-100,-75,Fiesole,11.283333,43.8,Dressel 1A,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-75,-50,Fiesole,11.283333,43.8,Dressel 1A,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-50,-25,Fiesole,11.283333,43.8,Dressel 1A,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-25,0,Fiesole,11.283333,43.8,Dressel 1A,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-25,0,Finale Emilia,11.283333,44.833333,Dressel 2-4,1,0.6931471805599453,1.0,0.6931471805599453
-50,-25,Finale Emilia,11.283333,44.833333,Dressel 6A,1,0.6931471805599453,0.5,0.34657359027997264
-25,0,Finale Emilia,11.283333,44.833333,Dressel 6A,1,0.6931471805599453,0.5,0.34657359027997264
-50,-25,Finale Emilia,11.283333,44.833333,Dressel 6B,2,1.0986122886681096,0.5,0.5493061443340548
-25,0,Finale Emilia,11.283333,44.833333,Dressel 6B,2,1.0986122886681096,0.5,0.5493061443340548
-125,-100,Finale Emilia,11.283333,44.833333,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-100,-75,Finale Emilia,11.283333,44.833333,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-75,-50,Finale Emilia,11.283333,44.833333,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-50,-25,Finale Emilia,11.283333,44.833333,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-50,-25,Fiorano Modenese,10.816667,44.533333,Dressel 6A,1,0.6931471805599453,0.5,0.34657359027997264
-25,0,Fiorano Modenese,10.816667,44.533333,Dressel 6A,1,0.6931471805599453,0.5,0.34657359027997264
-125,-100,Fiorano Modenese,10.816667,44.533333,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-100,-75,Fiorano Modenese,10.816667,44.533333,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-75,-50,Fiorano Modenese,10.816667,44.533333,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-50,-25,Fiorano Modenese,10.816667,44.533333,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-50,-25,Gavello,11.916667,45.016667,Dressel 6A,2,1.0986122886681096,0.5,0.5493061443340548
-25,0,Gavello,11.916667,45.016667,Dressel 6A,2,1.0986122886681096,0.5,0.5493061443340548
-50,-25,Gavello,11.916667,45.016667,Dressel 6B,1,0.6931471805599453,0.5,0.34657359027997264
-25,0,Gavello,11.916667,45.016667,Dressel 6B,1,0.6931471805599453,0.5,0.34657359027997264
-25,0,Herculanum,14.333333,40.8,Dressel 2-4 Catalan,1,0.6931471805599453,1.0,0.6931471805599453
-25,0,Imperia,8.05,43.883333,Dressel 2-4 Catalan,21,3.091042453358316,1.0,3.091042453358316
-125,-100,Islas de Tremiti,15.5,42.116667,Lamboglia 2,5,1.791759469228055,0.25,0.44793986730701374
-100,-75,Islas de Tremiti,15.5,42.116667,Lamboglia 2,5,1.791759469228055,0.25,0.44793986730701374
-75,-50,Islas de Tremiti,15.5,42.116667,Lamboglia 2,5,1.791759469228055,0.25,0.44793986730701374
-50,-25,Islas de Tremiti,15.5,42.116667,Lamboglia 2,5,1.791759469228055,0.25,0.44793986730701374
-150,-125,Ivrea,7.866667,45.466667,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-125,-100,Ivrea,7.866667,45.466667,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-100,-75,Ivrea,7.866667,45.466667,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-75,-50,Ivrea,7.866667,45.466667,Dressel 1,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
