pleiades_id,title,longitude,latitude,location_precision,feature_types,time_periods,sources,in_window_bins
383580,Augusta Taurinorum,7.685998,45.0717795,precise,settlement,"roman,late-antique,modern",pleiades_settlement,0.055
383584,Bedriacum,10.442348,45.129535,precise,settlement,"roman,late-antique,twentieth-ce,twenty-first-ce",pleiades_settlement,0.055
383588,Beneventum,10.727138,45.43771,precise,station,"roman,late-antique",pleiades_transport,0.055
383589,Bergomum,9.669949,45.694909,precise,settlement,"classical,hellenistic-republican,roman,late-antique",pleiades_settlement,17.6
383594,Bobium,9.3862814,44.769273,precise,"settlement, settlement-modern","late-antique,modern",pleiades_settlement,0.0
383595,Bodetia,9.656845,44.242543,precise,station,"roman,late-antique",pleiades_transport,0.055
383601,Bretina,10.872761,45.643262,precise,settlement,"roman,late-antique,twentieth-ce",pleiades_settlement,0.055
383602,Brixellum,10.515757,44.9011102,precise,"settlement, settlement-modern","roman,late-antique,modern",pleiades_settlement,0.055
383603,Brixia,10.223135,45.539773,precise,settlement,"classical,hellenistic-republican,roman,late-antique,modern",pleiades_settlement,17.6
383605,[Bugella],8.058255,45.562812,precise,settlement,late-antique,pleiades_settlement,0.0
383609,Canalicum,8.277543,44.397501,precise,station,"roman,late-antique",pleiades_transport,0.055
383610,Carbantia/Ad Medias,8.479819,45.18293,precise,station,"roman,late-antique",pleiades_transport,0.055
383611,Carreum Potentia,7.822544,45.011441,precise,settlement,"hellenistic-republican,roman,late-antique,twentieth-ce,twenty-first-ce",pleiades_settlement,7.2
383612,Castelletto Ticino,8.63684,45.718711,precise,settlement,"archaic,classical,twentieth-ce",pleiades_settlement,8.15
383616,Cest(a)e,8.151744,45.189906,precise,station,"roman,late-antique",pleiades_transport,0.055
383617,*Civitas Camunnorum,10.278604,45.94345,precise,settlement,"roman,late-antique,twentieth-ce",pleiades_settlement,0.055
383618,Clastidium,9.123457,45.011113,precise,settlement,"hellenistic-republican,roman,late-antique",pleiades_settlement,7.2
383621,Coeba,8.034988,44.387325,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383626,‘Comeli magus’,9.224705,45.043908,precise,station,"roman,late-antique,twentieth-ce",pleiades_transport,0.055
383627,Comum,9.085784,45.81192,precise,settlement,"archaic,classical,hellenistic-republican,roman,late-antique,modern",pleiades_settlement,25.75
383628,Cremona,10.026149,45.133639,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383629,Crixia,8.309042,44.48594,precise,station,"roman,late-antique",pleiades_transport,0.055
383630,Cuttiae,8.61234,45.193215,precise,station,"roman,late-antique,twentieth-ce",pleiades_transport,0.055
383632,‘Delphinis’,9.156049,44.348809,precise,station,"roman,late-antique,twentieth-ce",pleiades_transport,0.055
383633,Dertona,8.865452,44.897171,precise,settlement,"classical,hellenistic-republican,roman,late-antique,modern",pleiades_settlement,17.6
383634,Desenzano,10.5382608,45.472984,precise,villa,"roman,late-antique,twentieth-ce,twenty-first-ce",pleiades_production,0.055
383637,Durriae,8.954,45.157083,precise,station,"roman,late-antique",pleiades_transport,0.055
383642,Eporedia,7.875942,45.466604,precise,settlement,"roman,late-antique,modern",pleiades_settlement,0.055
383648,Fidentia,10.061732,44.865109,precise,settlement,"roman,late-antique,modern",pleiades_settlement,0.055
383649,Florenti(ol)a,9.910786,44.927187,precise,station,"roman,late-antique",pleiades_transport,0.055
383650,Forum Clodi?,10.286228,44.193657,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383651,Forum Fulvii Valentinum,8.644186,45.012274,precise,settlement,"roman,late-antique,modern",pleiades_settlement,0.055
383653,*Forum Germanici,7.475266,44.518081,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383655,*Forum Novum,9.679688,45.498815,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383656,Forum Novum,10.097415,44.691301,precise,settlement,"roman,late-antique,twentieth-ce",pleiades_settlement,0.055
383657,Forum Vibii,7.374977,44.785652,precise,settlement,"hellenistic-republican,roman,late-antique",pleiades_settlement,7.2
383659,Fundus Ancharianus,9.614589,44.923934,precise,villa,roman,pleiades_production,0.102
383664,Genua,8.93155,44.4062315,precise,"settlement, port","archaic,classical,hellenistic-republican,roman,late-antique,mediaeval-byzantine,sixteenth-ce,modern",pleiades_settlement;pleiades_transport,25.75
383666,Grebia,10.354428,46.0695155,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383669,Hasta,8.206756,44.900895,precise,settlement,"roman,late-antique,modern",pleiades_settlement,0.055
383670,Hasta,8.747845,44.430661,precise,station,"roman,late-antique,twentieth-ce",pleiades_transport,0.055
383675,In Alpe Pennino,9.5697383,44.2494805,precise,"station, pass","late-antique,twentieth-ce,twenty-first-ce",pleiades_transport,0.0
383677,Industria/Bodincomagum?,8.01877822494,45.1590585267,precise,"settlement, archaeological-site, theatre, temple-2","hellenistic-republican,roman,late-antique",pleiades_settlement,7.2
383680,Iria/Forum Iulii Iriensium,9.00968,44.992219,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383685,Lambrum,9.52751,45.158683,precise,station,"roman,late-antique",pleiades_transport,0.055
383691,Laus Pompeia,9.418776,45.303456,precise,settlement,"hellenistic-republican,roman,late-antique,twentieth-ce,twenty-first-ce",pleiades_settlement,7.2
383693,Leucerae,9.390035,45.852986,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383694,Libarna,8.8610596,44.7148917,precise,settlement,"classical,hellenistic-republican,roman,late-antique",pleiades_settlement,17.6
383696,Licini Forum?,9.223955,45.812228,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383700,Litubium,9.037371,44.950485,precise,settlement,hellenistic-republican,pleiades_settlement,4.0
383704,Mantua,10.7976015,45.160646,precise,settlement,"classical,hellenistic-republican,roman,late-antique,modern",pleiades_settlement,17.6
383706,Mediolan(i)um,9.18806,45.463746,precise,"settlement, urban","classical,hellenistic-republican,roman,late-antique,sixteenth-ce,modern",pleiades_settlement,17.6
