bin_start_year,bin_end_year,port_id,name,longitude,latitude,foundation_year,start_uncertainty_halfwidth_years,active_probability
-675,-650,975,"Cumae, Cumes, Kyme",14.051265,40.846657,-750.0,60.0,1.0
-675,-650,977,"Pithekoussai, Pithecusae, Etruscan Inarime, first Greek (Euboian) settlement in Italy",13.885913,40.754297,-750.0,60.0,1.0
-675,-650,978,,13.879064,40.696687,-700.0,30.0,1.0
-675,-650,978.1,"Procita, Prochyta insula",14.016731,40.759068,-700.0,30.0,1.0
-675,-650,978.2,,13.992,40.74,-1500.0,100.0,1.0
-675,-650,991,"Puteoli, Dikaiarcheia, Dicearque, Flavia Colonia Augusta Puteoli, Delus Minor, in the Campi Phlegraei volcano district",14.1154,40.8216,-750.0,60.0,1.0
-675,-650,997,"Parthenope, Neapolis",14.2522,40.8398,-750.0,60.0,1.0
-675,-650,1002,"Pompeia, Porta Marina, Etruscan Pumpai",14.48226,40.74893,-750.0,60.0,1.0
-675,-650,1002.1,"Pompeia, Porta Stabia, Etruscan Pumpai",14.4908,40.7473,-750.0,60.0,1.0
-675,-650,1004,Aequana ,14.4215,40.6617,-750.0,60.0,1.0
-675,-650,1013.1,"Seirenoussai nesoi, Anthemoessa insulae, Anthemuse, possible Siren islands, no stopover for Odysseus",14.43365,40.5825,-750.0,60.0,1.0
-675,-650,1017,Vietri ,14.713068,40.657725,-750.0,60.0,1.0
-675,-650,1019,,14.94346,40.5352,-750.0,60.0,1.0
-675,-650,1021,"Poseïdonia, Posidonia, Paestum, on R Silarus",14.992,40.415,-750.0,60.0,1.0
-675,-650,1025,Palinurus ,15.282234,40.035658,-750.0,60.0,1.0
-675,-650,1026,"Oenotrides insulae, Molpa ",15.294659,40.026788,-750.0,60.0,1.0
-675,-650,1032,,15.781146,39.81781,-750.0,60.0,1.0
-675,-650,1033,"Laos, Laus ",15.789572,39.775272,-750.0,60.0,1.0
-675,-650,1039,"Temesa, Temese, Tempsa, on R Sabutus",16.094554,39.027944,-750.0,60.0,1.0
-675,-650,1047.3,,15.9718,38.7135,-1500.0,100.0,1.0
-675,-650,1049,,15.921,38.545,-750.0,60.0,1.0
-675,-650,1052,"Medma, Mesma",15.9882,38.4821,-750.0,60.0,1.0
-675,-650,1053,"Port at the outlet of R Metaurus, Metaure ",15.871137,38.421553,-750.0,60.0,1.0
-675,-650,1058,"Scyllaeum, Scylla, in front of Charybdis in Sicily, both Planktes insulae, where Odysseus possibly sailed",15.715,38.259,-750.0,60.0,1.0
-675,-650,1061,"Rhegium, Rhegion",15.634658,38.109425,-740.0,20.0,1.0
