site,province_label,longitude,latitude,amphora_type,stamp_count,log1p_stamp_count,range_start_year,range_end_year
Vallebuona,Italia,9.116667,44.45,Dressel 1A,1,0.6931471805599453,-150,-1
Vallebuona,Italia,9.116667,44.45,Dressel 1B,1,0.6931471805599453,-150,-1
Vallebuona,Italia,9.116667,44.45,Greco-Itálica,1,0.6931471805599453,-400,-100
Ventimiglia,Italia,7.6,43.783333,Dressel 1C,1,0.6931471805599453,-150,-1
Ventimiglia,Italia,7.6,43.783333,Dressel 6A,1,0.6931471805599453,-50,-1
Vercelli,Italia,8.416667,45.316667,Brindisian amphora,1,0.6931471805599453,-125,-25
Vercelli,Italia,8.416667,45.316667,Dressel 2-4,1,0.6931471805599453,-30,-1
Vercelli,Italia,8.416667,45.316667,Dressel 6A,7,2.0794415416798357,-50,-1
Vercelli,Italia,8.416667,45.316667,Dressel 6B,23,3.1780538303479458,-50,-1
Vercelli,Italia,8.416667,45.316667,Lamboglia 2,5,1.791759469228055,-125,-25
Verona,Italia,11.0,45.45,Dressel 6B,1,0.6931471805599453,-50,-1
Vibo Valentia,Italia,16.1,38.666667,Brindisian amphora,1,0.6931471805599453,-125,-25
Vibo Valentia,Italia,16.1,38.666667,Dressel 2-4,2,1.0986122886681096,-30,-1
Vicenza,Italia,11.55,45.55,Dressel 6A,27,3.332204510175204,-50,-1
Vicenza,Italia,11.55,45.55,Dressel 6B,116,4.762173934797756,-50,-1
Vrhnika,Italia,14.295556,45.966111,Dressel 6B,1,0.6931471805599453,-50,-1
Île Cavallo,Corsica et Sardinia,9.262903,41.368374,Dressel 2-4 Catalan,10,2.3978952727983707,-30,-1
Îles Lavezzi,Corsica et Sardinia,9.254185,41.341096,Dressel 2-4 Catalan,93,4.543294782270004,-30,-1
Îles Perduto,Corsica et Sardinia,9.305129,41.369872,Dressel 2-4 Catalan,11,2.4849066497880004,-30,-1
