ID_Internal,Reference,Region,Groundedness,Specified.Location,Pleiades,Latitude,Longitude,Date.Start,Date.End,Date.Start.Orig,Date.End.Orig,Object.Type,Inscription.Use,Alphabet,Alphabet.Direction,Language,Notes,Script
22551,EDCS-64900710,Sicily,,Syracuse,1,37.07007897,15.28333566,-550,-501,-550,-501,,,6,,Latin,,
15151,EDCS-64900892,Apulia,,Pietrelcina / Pagus Veianus,0,41.199421,14.844139,-50,-1,-40,-1,,,5,,Latin,,
21553,EDCS-64900899,Sicily,,Caltanissetta / Nissa,0,37.4899412,14.0631618,-350,-301,-330,-301,,,5,,Latin,,
15605,EDCS-64900986,Lucania et Bruttium,,Motta San Giovanni / Leucopetra,1,38.01990797,15.63732544,-50,-26,-42,-42,,,5,,Latin,,
18366,EDCS-64901000,Latium,,Palestrina / Praeneste,1,41.8394835,12.8923075,-350,-326,-350,-326,,,5,,Latin,,
18396,EDCS-64901001,Latium,,Palestrina / Praeneste,1,41.8394835,12.8923075,-250,-176,-250,-181,,,5,,Latin,,
18393,EDCS-64901002,Latium,,Palestrina / Praeneste,1,41.8394835,12.8923075,-250,-201,-250,-201,,,5,,Latin,,
18394,EDCS-64901003,Latium,,Palestrina / Praeneste,1,41.8394835,12.8923075,-300,-201,-300,-201,,,5,,Latin,,
18395,EDCS-64901004,Latium,,Palestrina / Praeneste,1,41.8394835,12.8923075,-250,-176,-230,-181,,,5,,Latin,,
18397,EDCS-64901005,Latium,,Palestrina / Praeneste,1,41.8394835,12.8923075,-275,-226,-270,-231,,,5,,Latin,,
18792,EDCS-64901006,Latium,,Torvajanica / Tor Vaianica / Lavinium,1,41.61666742,12.47373586,-300,-201,-300,-201,,,5,,Latin,,
18793,EDCS-64901007,Latium,,Torvajanica / Tor Vaianica / Lavinium,1,41.61666742,12.47373586,-250,-201,-250,-201,,,5,,Latin,,
18794,EDCS-64901008,Latium,,Torvajanica / Tor Vaianica / Lavinium,1,41.61666742,12.47373586,-250,-201,-250,-201,,,5,,Latin,,
17657,EDCS-64901014,Latium,,Le Ferriere / Borgo Le Ferriere / Satricum,1,41.519633,12.746396,-300,-251,-300,-271,,,5,,Latin,,
17600,EDCS-64901015,Latium,,Formia / Formiae,1,41.2560395,13.6035325,-150,-101,-150,-101,,,5,,Latin,,
22450,EDCS-64901088,Sicily,,San Cipirello / Iaitas,1,37.9672755,13.197536,-300,-101,-300,-101,,,5,,Latin,,
22451,EDCS-64901096,Sicily,,San Cipirello / Iaitas,1,37.9672755,13.197536,-300,-101,-300,-101,,,5,,Latin,,
22452,EDCS-64901097,Sicily,,San Cipirello / Iaitas,1,37.9672755,13.197536,-200,-1,-200,-1,,,5,,Latin,,
22453,EDCS-64901098,Sicily,,San Cipirello / Iaitas,1,37.9672755,13.197536,-300,-101,-300,-101,,,5,,Latin,,
17645,EDCS-64901114,Latium,,Lanuvio / Lanuvium,1,41.674703,12.697593,-550,-501,-530,-501,,,6,,Latin,,
18690,EDCS-64901118,Latium,,Sora,1,41.7203358,13.6139576,-100,-1,-100,-1,,,5,,Latin,,
17811,EDCS-64901127,Campania,,Nola,1,40.926823,14.524545,-100,-51,-80,-51,,,5,,Latin,,
22214,EDCS-65000040,Sicily,,Petralia Sottana,0,37.8082253,14.0925134,-500,-401,-500,-401,,,6,,Latin,,
16070,EDCS-65100086,Etruria Meridionale,,Cerveteri / Agylla / Caere,1,42.00248697,12.10777847,-200,-101,-200,-101,,,5,,Latin,,
21644,EDCS-65200001,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-400,-301,-400,-301,,,5,,Latin,,
20549,EDCS-65200044,Latium,,Roma,1,41.88995766,12.49132642,-50,-1,-50,-1,,,5,,Latin,,
15243,EDCS-65200066,Messapia,,Taranto / Taras / Neptunia / Tarentum,1,40.4737866,17.2330416,-50,-1,-40,-21,,,5,,Latin,,
22055,EDCS-65200114,Sicily,,Marsala / Lilybaeum,1,37.80273436,12.42966491,-575,-526,-570,-531,,,6,,Latin,,
19318,EDCS-65200138,Latium,,Roma,1,41.88995766,12.49132642,-100,-1,-100,-1,,,5,,Latin,,
18672,EDCS-65200144,Campania,,Sessa Aurunca / Suessa Aurunca,1,41.238254,13.932224,-50,-1,-50,-1,,,5,,Latin,,
17900,EDCS-65200149,Latium,,Palestrina / Praeneste,1,41.8394835,12.8923075,-675,-651,-670,-660,,,6,,Latin,,
21646,EDCS-65200151,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-550,-501,-530,-501,,,6,,Latin,,
19319,EDCS-65300013,Latium,,Roma,1,41.88995766,12.49132642,-50,-1,-50,-1,,,5,,Latin,,
21879,EDCS-65300045,Sicily,,Gela,1,37.0630925,14.2584705,-350,-301,-350,-301,,,5,,Latin,,
21438,EDCS-65300047,Sicily,,Agrigento / Agrigentum,1,37.290594,13.585475,-450,-401,-430,-401,,,5,,Latin,,
21439,EDCS-65300048,Sicily,,Agrigento / Agrigentum,1,37.290594,13.585475,-500,-451,-500,-451,,,6,,Latin,,
21453,EDCS-65300049,Sicily,,Agrigento / Agrigentum,1,37.290594,13.585475,-500,-451,-500,-451,,,6,,Latin,,
15604,EDCS-65300057,Lucania et Bruttium,,Motta San Giovanni / Leucopetra,1,38.01990797,15.63732544,-50,-26,-42,-42,,,5,,Latin,,
22557,EDCS-65300059,Sicily,,Syracuse,1,37.07007897,15.28333566,-50,-26,-42,-42,,,5,,Latin,,
22558,EDCS-65300060,Sicily,,Syracuse,1,37.07007897,15.28333566,-50,-26,-42,-42,,,5,,Latin,,
19000,EDCS-65300061,Picenum,,Ascoli Piceno / Asculum Picenum,1,42.855397,13.574951,-100,-1,-100,-1,,,5,,Latin,,
18999,EDCS-65300062,Picenum,,Ascoli Piceno / Asculum Picenum,1,42.855397,13.574951,-100,-1,-100,-1,,,5,,Latin,,
15008,EDCS-65300082,Apulia,,Benevento / Beneventum,1,41.130437,14.781161,-50,-1,-40,-1,,,5,,Latin,,
22423,EDCS-65300219,Sicily,,San Cipirello / Iaitas,1,37.9672755,13.197536,-500,-451,-500,-471,,,6,,Latin,,
16065,EDCS-65300230,Etruria Meridionale,,Cerveteri / Agylla / Caere,1,42.00248697,12.10777847,-100,-1,-100,-1,,,5,,Latin,,
16064,EDCS-65300231,Etruria Meridionale,,Cerveteri / Agylla / Caere,1,42.00248697,12.10777847,-150,-1,-150,-1,,,5,,Latin,,
16068,EDCS-65300232,Etruria Meridionale,,Cerveteri / Agylla / Caere,1,42.00248697,12.10777847,-150,-1,-150,-1,,,5,,Latin,,
16063,EDCS-65300233,Etruria Meridionale,,Cerveteri / Agylla / Caere,1,42.00248697,12.10777847,-150,-1,-150,-1,,,5,,Latin,,
19099,EDCS-65400050,Picenum,,Cupra Marittima / Marano / Cupra Maritima,1,43.0225465,13.85713,-50,-1,-50,-1,,,5,,Latin,,
21988,EDCS-65700670,,,"Lipari, Isola di / Lipara",1,38.46740105,14.9539573,-100,-1,-100,-1,,,5,,Latin,,
21023,EDCS-66400054,Umbria,,Norcia / Nursia,1,42.794246,13.096435,-200,-51,-200,-71,,,5,,Latin,,
20661,EDCS-66400059,Umbria,,Ancarano / Nursia,1,42.794246,13.096435,-50,-1,-50,-1,,,5,,Latin,,
17402,EDCS-66700004,Latium,,Cassino / Casinum,1,41.492907,13.830583,-150,-26,-133,-31,,,5,,Latin,,
17724,EDCS-66700011,Latium,,Minturno / Minturnae,1,41.24215299,13.76841757,-100,-1,-100,-1,,,5,,Latin,,
22050,EDCS-66800016,Sicily,,Marsala / Lilybaeum,1,37.80273436,12.42966491,-50,-26,-39,-36,,,5,,Latin,,
22051,EDCS-66800019,Sicily,,Marsala / Lilybaeum,1,37.80273436,12.42966491,-125,-101,-125,-125,,,5,,Latin,,
15238,EDCS-66800020,Messapia,,Taranto / Taras / Neptunia / Tarentum,1,40.4737866,17.2330416,-75,-26,-59,-49,,,5,,Latin,,
15239,EDCS-66800021,Messapia,,Taranto / Taras / Neptunia / Tarentum,1,40.4737866,17.2330416,-75,-26,-59,-49,,,5,,Latin,,
